,SKS,IPK,dum_grade,lulus_4_tahun
741,146,3.1883561643835616,2.0,0
742,145,3.0951724137931036,1.0,0
743,145,3.123448275862069,2.0,0
744,125,2.584,7.0,0
745,145,3.537931034482759,0.0,1
746,142,2.8556338028169015,2.0,0
747,142,2.612676056338028,3.0,0
748,145,3.3737931034482758,1.0,0
749,145,3.902758620689655,0.0,1
750,145,3.6413793103448278,0.0,1
751,145,3.1199999999999997,1.0,0
752,145,3.1048275862068966,2.0,0
753,145,3.1393103448275865,2.0,0
754,145,3.2144827586206897,1.0,0
755,145,3.297241379310345,2.0,0
756,145,3.320689655172414,0.0,1
757,145,3.711724137931035,0.0,1
758,122,2.5237704918032784,8.0,0
759,145,3.290344827586207,2.0,0
760,145,3.3048275862068963,1.0,0
761,145,3.217931034482759,1.0,0
762,105,2.442857142857143,7.0,0
763,106,2.5849056603773586,4.0,0
764,145,3.2875862068965516,1.0,0
765,145,3.240689655172414,2.0,0
766,145,3.2006896551724138,1.0,0
767,138,3.1768115942028983,0.0,0
768,133,2.7233082706766916,3.0,0
769,127,2.877952755905512,1.0,0
